FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
544.0,45605,CALLE AMADIS,1.0,3000.0,E0575,374135.086736,3148851.48782,-16.285566318,28.4601613323
545.0,01101,CALLE URBANIZACION ALDEAS INFANTILES,3.0,120.0,E0576,368633.551881,3145389.82749,-16.341351598,28.4283799776
546.0,45002,CALLE MARIANO ESTANGA ARIAS,1.0,3000.0,E0577,374652.833344,3149149.45814,-16.2803116226,28.4629002081
547.0,10444,CALLE ROSALIA DE CASTRO,1.0,3200.0,E0578,373656.395,3148016.303,-16.2903630541,28.4525780072
548.0,40821,CTRA LOS CAMPITOS,1.0,120.0,E0579,376413.711614,3150719.26677,-16.262497818,28.4772349838
549.0,82531,CTRA AUTOVIA SAN ANDRES,1.0,3000.0,E0580,379522.049416,3152064.19784,-16.2308913919,28.4896634647
550.0,40933,CTRA TAHODIO,1.0,3000.0,E0581,377883.5352,3151691.3313,-16.2475888589,28.4861459478
551.0,10548,CMNO PISTA EL DRAGUILLO,1.0,3000.0,E0582,383837.482852,3161350.15695,-16.1877490334,28.5738579883
552.0,57587,CTRA ALMACIGA,1.0,3000.0,E0583,382240.725876,3160963.84424,-16.2040330584,28.570227815
553.0,32582,CALLE GOYA,1.0,3000.0,E0584,376410.115404,3149474.63899,-16.2624010035,28.4660025309
554.0,43854,CALLE ELIAS BACALLADO,1.0,3000.0,E0585,374250.476409,3148817.2974,-16.284384257,28.4598639149
555.0,10041,CALLE LA MARINA,2.0,3000.0,E0586,377840.733375,3149712.35729,-16.2478161139,28.468282649
556.0,10041,CALLE LA MARINA,1.0,3000.0,E0587,377841.036424,3149620.04641,-16.2478032308,28.4674496151
557.0,11025,CALLE UNO MORISCOS,1.0,3200.0,E0588,374050.409396,3145819.41241,-16.2860999051,28.4327904222
558.0,59002,CALLE EL SIROCO,1.0,3200.0,E0590,371630.398651,3145508.71097,-16.3107713742,28.4297508543
559.0,10388,AVDA NUESTRA SEÑORA DEL CARMEN,1.0,3200.0,E0591,378749.246142,3152096.82313,-16.238788846,28.4898861847
560.0,10375,CALLE 605,1.0,3200.0,E0592,375082.029325,3149156.879,-16.2759294594,28.4630083625
561.0,10381,CALLE DOCTOR JAIME CHAVEZ,1.0,3000.0,E0593,377910.550589,3150975.89407,-16.247237037,28.4796920078
562.0,10392,CALLE VICTORIANO DARIAS MONTESINOS,1.0,3000.0,E0594,377863.454661,3151125.64854,-16.2477339506,28.4810390558
563.0,31911,CALLE FRANCISCO PIZARRO,1.0,3000.0,E0595,374933.053562,3149411.79138,-16.2774784757,28.4652945223
564.0,32736,CALLE PIO BAROJA,1.0,3000.0,E0596,375784.127951,3149016.65517,-16.2687444594,28.4618099862
565.0,10189,CALLE LA PICONERA,1.0,3000.0,E0597,373548.59405,3147330.93307,-16.2913886541,28.4463825089
566.0,10559,RBLA AÑAZA,1.0,3200.0,E0598,372537.104643,3144732.84542,-16.3014293834,28.4228379555
567.0,83082,CTRA SANTA CRUZ LAGUNA,1.0,3000.0,E0601,374514.388707,3148792.09668,-16.2816865121,28.4596619127
568.0,10768,AVDA CERCADO CORAZON,1.0,3200.0,E0602,370835.454337,3145735.40152,-16.3189120928,28.431718195
569.0,10552,AVDA LAS HESPERIDES,1.0,3200.0,E0603,371057.595241,3146140.16227,-16.3166895036,28.4353928463
570.0,10228,CALLE MARIA FLORES,1.0,3200.0,E0604,370955.123,3146162.608,-16.3177381772,28.4355852789
571.0,10552,AVDA LAS HESPERIDES,1.0,3200.0,E0605,371027.09243,3146120.29167,-16.3169986933,28.4352105144
572.0,56112,CALLE ABICORE,1.0,3000.0,E0606,372626.971217,3146947.12418,-16.3007563876,28.4428292395
573.0,46407,CALLE RIO ORINOCO,1.0,3200.0,E0607,380918.742961,3152668.18689,-16.2166869087,28.4952426627
574.0,10552,AVDA LAS HESPERIDES,1.0,3200.0,E0608,371898.699859,3146984.55661,-16.3081961969,28.4430957638
575.0,40781,CALLE LA ASOMADITA,1.0,3200.0,E0609,370901.183789,3146971.49945,-16.3183793656,28.4428796403
576.0,10244,AVDA LOS MAJUELOS,1.0,3200.0,E0610,370667.862891,3145692.45927,-16.3206182013,28.4313140811
577.0,32721,CALLE ALCALDE MANDILLO TEJERA,1.0,3200.0,E0611,375553.892911,3148893.57328,-16.2710823214,28.4606772881
578.0,50316,CALLE PRUDENCIO TADEO,1.0,3000.0,E0612,372546.790876,3146719.59559,-16.3015498927,28.4407681082
579.0,10295,CALLE AREJO,1.0,3000.0,E0613,370976.767935,3146294.77036,-16.3175319756,28.4367800945
580.0,50556,CALLE ENCINA,1.0,3000.0,E0614,371954.244383,3146809.6761,-16.3076096749,28.441523031
581.0,57564,CALLE PROLONGACION RAMON Y CAJAL,1.0,3000.0,E0615,377309.933717,3149394.84049,-16.2532031806,28.4653673703
582.0,30416,CALLE DEL PERDON,1.0,3000.0,E0617,376347.053196,3150010.12573,-16.2631024958,28.4708290394
583.0,20975,CALLE HELIODORO RODRIGUEZ LOPEZ,1.0,3200.0,E0618,376456.089807,3149067.54883,-16.2618878478,28.4623331082
584.0,20975,CALLE HELIODORO RODRIGUEZ LOPEZ,1.0,3200.0,E0619,376484.664864,3149200.50222,-16.2616102884,28.4635356515
585.0,40175,CALLE MARIA JIMENEZ,2.0,3200.0,E0620,380001.592306,3152365.70237,-16.2260243934,28.4924286809
586.0,10530,CALLE MOREIBA,2.0,3200.0,E0621,372107.658572,3144042.51966,-16.3057367625,28.4165662092
587.0,46407,CALLE RIO ORINOCO,1.0,3200.0,E0622,381055.358549,3152698.40946,-16.2152944513,28.4955278948
588.0,30641,CALLE DOCTOR GONZALEZ COVIELLA,1.0,3000.0,E0623,376766.441397,3150668.46236,-16.258889779,28.476809902
589.0,44022,CALLE ANTONIO LOPEZ LOPEZ,1.0,3000.0,E0624,374977.869594,3148199.7179,-16.2768893231,28.4543605363
590.0,45122,CALLE MANUEL ORAA Y AROCHA,1.0,3200.0,E0625,375439.747852,3149346.57395,-16.2722969186,28.4647544739
591.0,82086,CALLE LEOPOLDO DE LA ROSA OLIVERA,1.0,3000.0,E0626,375438.16952,3149649.82144,-16.2723458209,28.4674909641
592.0,20116,AVDA TRES DE MAYO,1.0,3200.0,E0628,377154.222708,3148760.02131,-16.254725687,28.4596237749
593.0,10768,AVDA CERCADO CORAZON,1.0,3200.0,E0627,370371.638823,3145682.24662,-16.3236411546,28.4311925447
594.0,10768,AVDA CERCADO CORAZON,1.0,3200.0,E0629,370510.016184,3145751.56759,-16.3222362628,28.4318318491
595.0,20774,CALLE LUIS BRAILLE,1.0,3200.0,E0630,372920.382137,3144749.53331,-16.2975186813,28.4230258993
596.0,10566,CALLE EL PEREJIL,1.0,3000.0,E0631,370823.286504,3144730.64309,-16.3189238886,28.4226497173
597.0,10041,CALLE LA MARINA,1.0,3200.0,E0632,377871.607196,3150230.93244,-16.2475557902,28.4729654374
598.0,56603,CALLE CHIRAMA,1.0,3000.0,E0638,371987.668836,3145116.958,-16.3070806572,28.4262506018
599.0,10020,CALLE PUNTA DE LA VISTA,1.0,3200.0,E0637,372190.870197,3145434.49537,-16.3050414492,28.4291360819
600.0,31137,CALLE AZORIN,1.0,3200.0,E0636,375960.243379,3148570.75616,-16.2668979839,28.4578027453
601.0,32601,CALLE LUIS DE LA CRUZ,1.0,3200.0,E0635,376284.350188,3149450.93218,-16.2636828224,28.465776662
602.0,30304,AVDA ISLAS CANARIAS,1.0,3000.0,E0634,376113.591771,3149629.09809,-16.2654458281,28.4673683017
603.0,57274,CTRA GENERAL DEL SUR,1.0,3200.0,E0639,372568.456003,3146987.95059,-16.3013583391,28.4431919602
604.0,10578,CALLE ALCALDE JOSE EMILIO GARCIA GOMEZ,1.0,3000.0,E0640,376591.005632,3148020.93703,-16.2603980265,28.4529007345
605.0,40821,CTRA LOS CAMPITOS,1.0,3000.0,E0641,375863.362385,3149983.40762,-16.2680394784,28.4705419524
606.0,11052,PLAZA WEYLER,1.0,3000.0,E0644,377111.302305,3149656.76123,-16.2552596149,28.4677123702
607.0,10965,CALLE VALENTIN SANZ,1.0,3000.0,E0643,377517.494462,3149602.19939,-16.2511055348,28.4672581993
608.0,10756,CALLE GENERAL GUTIERREZ,1.0,3000.0,E0642,377830.052793,3149485.891,-16.2479011766,28.4662378962
609.0,10756,CALLE GENERAL GUTIERREZ,1.0,3000.0,E0645,377796.634607,3149417.74411,-16.2482352313,28.4656197707
610.0,11097,CL PEDRO MODESTO CAMPOS,1.0,3200.0,E0646,376963.26322,3148433.95918,-16.2566409248,28.456663222
611.0,10613,AVDA BRAVO MURILLO,1.0,3200.0,E0647,377858.203831,3149431.26383,-16.2476078937,28.4657475489
612.0,11002,CALLE 129,1.0,3000.0,E0648,369897.497362,3147739.12373,-16.3287135221,28.4497072224
613.0,95825,CSRIO CASAS DE LA CUMBRE,1.0,3000.0,E0649,379204.946918,3157276.04495,-16.234678258,28.5366684954
614.0,10244,AVDA LOS MAJUELOS,1.0,3200.0,E0650,371801.785518,3147263.40029,-16.3092166848,28.4456026292
615.0,52307,CALLE ALTAMIRA,1.0,3000.0,E0655,370736.773023,3145650.42519,-16.3199100017,28.4309415756
616.0,31772,CALLE SANTA MARIA SOLEDAD,1.0,3000.0,E0654,373851.239308,3148481.08956,-16.2884243563,28.4567912852
