FID,CODCALLE,TEXTO,GRUPO,CAPACIDAD,PTO_REC,UTM_X,UTM_Y,GRAD_X,GRAD_Y
87.0,83124,CALLE DOCTOR CORVINIANO RODRIGUEZ LOPEZ,1.0,3000.0,P0092,373908.075003,3148203.20895,-16.2878135894,28.454289073
88.0,43904,CALLE HERNAN CORTES,1.0,3000.0,P0093,374261.328691,3148098.8663,-16.2841950714,28.4533815386
89.0,44664,CALLE PEDRO DE VALDIVIA,1.0,3000.0,P0094,374326.831854,3148021.30866,-16.2835177579,28.4526879375
90.0,47121,CALLE CHAFIRA,1.0,3000.0,P0095,373689.068683,3147293.53352,-16.2899502555,28.446058605
91.0,44513,CALLE HERMANOS PINZON,1.0,3000.0,P0096,374432.035647,3147979.33435,-16.2824389464,28.4523192736
92.0,44505,CALLE ELISEO LOPEZ,1.0,3000.0,P0097,374413.877352,3148180.67312,-16.2826462921,28.454134493
93.0,10625,CALLE LA ESTRELLA,1.0,3000.0,P0098,373924.884779,3147552.40598,-16.2875707827,28.4484175829
94.0,43227,AVDA PRINCIPES DE ESPAÑA,1.0,3000.0,P0099,374304.132001,3148353.30636,-16.2837857438,28.4556818382
95.0,45586,CALLE TAJARASTE,2.0,3000.0,P0100,374192.601803,3148677.24303,-16.2849599692,28.4585944251
96.0,54167,CALLE SIMBAD,1.0,3000.0,P0101,374216.305527,3148472.90158,-16.2846956179,28.4567526492
97.0,56487,CALLE DACIL VILAR BORGES,1.0,3000.0,P0102,374222.962632,3148400.5,-16.2846197396,28.4560999092
98.0,56487,CALLE DACIL VILAR BORGES,1.0,3000.0,P0103,374205.385843,3148322.68035,-16.2847907307,28.4553959372
99.0,56487,CALLE DACIL VILAR BORGES,2.0,3000.0,P0104,374170.423322,3148244.71615,-16.2851392336,28.4546889836
100.0,43684,CALLE GARA Y JONAY,1.0,3000.0,P0105,374506.157001,3147735.30135,-16.2816555331,28.450124146
101.0,43185,CALLE TAJINASTE (B. LAS CABRITAS),1.0,3000.0,P0106,374307.362941,3147585.15882,-16.283669013,28.4487500591
102.0,45725,CALLE AÑAVINGO,1.0,3000.0,P0107,374718.726928,3148388.6924,-16.279556022,28.4560410627
103.0,31346,CALLE CAMINO DEL HIERRO,1.0,3000.0,P0108,374744.554802,3148598.77351,-16.2793151115,28.4579394064
104.0,44215,CALLE PEDRO JOSE DE MENDIZABAL,1.0,3000.0,P0109,374824.49946,3148536.47405,-16.2784919863,28.4573848637
105.0,44215,CALLE PEDRO JOSE DE MENDIZABAL,1.0,3000.0,P0110,374973.19,3148642.81,-16.2769851649,28.4583587478
106.0,31532,CALLE ANSELMO,1.0,3000.0,P0111,374294.648647,3149089.51571,-16.2839628743,28.4623247838
107.0,31621,CALLE BERNA,1.0,3000.0,P0112,374151.388588,3149106.843,-16.2854277323,28.4624673347
108.0,31756,CALLE RUTH,1.0,3000.0,P0113,374185.257118,3149003.23576,-16.2850705566,28.4615356089
109.0,31795,CALLE SOR MARIA DE JESUS,1.0,3000.0,P0114,374414.05147,3149389.21271,-16.2827761993,28.465040878
110.0,45033,CALLE ELIAS SERRA RAFOLS,1.0,3000.0,P0115,374541.52618,3149110.35611,-16.2814440376,28.462536631
111.0,31884,CALLE ANTONIO VIVANCO SANTILLAN,1.0,3000.0,P0116,374662.84,3149352.25,-16.280231492,28.4647312494
112.0,83082,CTRA SANTA CRUZ LAGUNA,1.0,3000.0,P0117,374729.62363,3149226.87938,-16.279535854,28.4636062695
113.0,31393,CALLE HERRAIZ MALO,1.0,3000.0,P0118,374940.16236,3149273.46842,-16.277390866,28.4640469181
114.0,44865,CALLE CLAUDIO F SARMIENTO,1.0,3000.0,P0119,374997.169945,3149282.84997,-16.2768097134,28.4641370475
115.0,44915,CALLE POETISA VITORINA BRIDOUX,1.0,3000.0,P0120,374698.515764,3148803.89424,-16.2798075407,28.4597860821
116.0,32825,CALLE JOSE LIBRERO,1.0,3000.0,P0121,374859.898471,3149639.17619,-16.2782502523,28.4673395208
117.0,20693,CALLE LOS MOLINOS,1.0,3000.0,P0122,377150.405647,3149166.4368,-16.2548079895,28.463291118
118.0,10307,CALLE SAN FERNANDO,1.0,3000.0,P0123,377573.343557,3150445.94045,-16.2506248483,28.4748778
119.0,20484,CALLE EDUARDO ZAMACOIS,1.0,3000.0,P0124,376633.074892,3148979.40239,-16.2600710303,28.4615543864
120.0,20766,CALLE LEONCIO RODRIGUEZ,1.0,3000.0,P0125,377496.492239,3148972.8319,-16.2512531104,28.4615764847
121.0,10705,PLAZA PRIMERO DE MAYO,1.0,3000.0,P0126,377334.934123,3149133.15359,-16.2529200095,28.4630081245
122.0,57564,CALLE PROLONGACION RAMON Y CAJAL,1.0,3000.0,P0128,377161.317631,3149441.81856,-16.2547259119,28.4657773317
123.0,10822,CALLE MIRAFLORES,1.0,3000.0,P0129,377175.571338,3149482.79531,-16.2545847154,28.4661484696
124.0,10822,CALLE MIRAFLORES,1.0,3000.0,P0130,377491.742147,3149393.13046,-16.2513463019,28.465369033
125.0,10064,CALLE SAN FRANCISCO,1.0,3000.0,P0131,377717.353416,3149640.62263,-16.2490685392,28.4676237111
126.0,20596,AVDA BUENOS AIRES,1.0,3000.0,P0133,377105.67949,3148884.19127,-16.2552346418,28.4607397753
127.0,21127,CALLE QUEVEDO,1.0,3000.0,P0134,376940.282524,3148990.14229,-16.2569349757,28.4616803344
128.0,20693,CALLE LOS MOLINOS,1.0,3000.0,P0135,377115.527176,3148969.91061,-16.255143218,28.4615142786
129.0,20712,AVDA SAN SEBASTIAN,1.0,3000.0,P0136,377345.504556,3149205.3796,-16.2528197504,28.4636609238
130.0,10257,CALLE DOCTOR JOSE NAVEIRAS,1.0,3000.0,P0137,377361.251628,3150150.6569,-16.2527595637,28.4721930726
131.0,11133,CALLE EL PILAR,2.0,3000.0,P0138,377497.510441,3149763.29509,-16.2513267527,28.4687101328
132.0,11357,CALLE VILLALBA HERVAS,1.0,3000.0,P0139,377585.654257,3149680.28142,-16.2504177448,28.4679692537
133.0,11311,CALLE EMILIO CALZADILLA,1.0,3000.0,P0140,377697.737456,3149791.14666,-16.2492848491,28.468980279
134.0,11052,PLAZA WEYLER,1.0,3000.0,P0141,377063.313161,3149697.69916,-16.255754077,28.4680772904
135.0,10787,CALLE IMELDO SERIS,1.0,3000.0,P0142,377153.348887,3149610.99256,-16.2548253299,28.4673032931
136.0,21143,CALLE PADRE ANCHIETA,1.0,3000.0,P0143,377097.704014,3149262.02027,-16.2553563822,28.4641487459
137.0,21143,CALLE PADRE ANCHIETA,1.0,3000.0,P0144,377245.915385,3149212.67464,-16.2538375532,28.4637173866
138.0,20871,CALLE JUAN ALVAREZ GARCIA,1.0,3000.0,P0145,377422.436642,3149033.26441,-16.2520157953,28.4621149005
139.0,21135,CALLE AGUERE,2.0,3000.0,P0146,377217.36399,3149349.7405,-16.2541437314,28.4649516512
140.0,30575,CALLE ENRIQUE WOLFSON,1.0,3000.0,P0147,376928.952239,3150241.74011,-16.25718438,28.4729743085
141.0,44803,CALLE DOCTOR PEREZ CAMACHO,1.0,3000.0,P0148,376497.206779,3150301.7838,-16.26160027,28.4734753353
142.0,44792,CALLE HENRY DUNANT,1.0,3000.0,P0149,376382.289704,3150236.27349,-16.2627669008,28.4728732457
143.0,30401,GTA ESTADO DE VIRGINIA,1.0,3000.0,P0150,376451.103487,3149972.18868,-16.2620357752,28.470496543
144.0,20712,AVDA SAN SEBASTIAN,1.0,3000.0,P0151,376863.861754,3149183.05064,-16.2577359979,28.4634140228
145.0,30575,CALLE ENRIQUE WOLFSON,1.0,3000.0,P0152,376828.213284,3150156.09597,-16.2582040773,28.4721918985
146.0,21472,CALLE TAJINASTE (BARRIO NUEVO),1.0,3000.0,P0153,375765.632211,3150144.82425,-16.2690549879,28.4719893389
147.0,40821,CTRA LOS CAMPITOS,1.0,3000.0,P0154,375941.529852,3150366.70574,-16.2672824522,28.474008451
