FID,CODCALLE,TEXTO,CAPACIDAD,GEOCODIGO,NOTAS,UTM_X,UTM_Y,GRAD_X,GRAD_Y
690.0,10275,SENDA TRASERA BLOQUE 20,2500.0,CT 0384,CT DEL ROSARIO / CL IZQUIERDO AZCARATE / BLOQUE N§ 20,375480.712707,3148718.37206,-16.2718106984,28.4590892069
691.0,31323,AVENIDA ANGEL ROMERO,2500.0,CT 0379,"AV ANGEL ROMERO, 4 / DISCO PUB 62",375322.890723,3149181.24129,-16.2734724028,28.4632512699
692.0,31393,CALLE HERRAIZ MALO,2700.0,CT 2794,CT S/CRUZ-LA LAGUNA / CL HERRAIS MALO,374954.110839,3149258.95782,-16.2772468473,28.4639173059
693.0,83082,CARRETERA SANTA CRUZ LAGUNA,1500.0,CT 1052,"CT S/CRUZ-LAGUNA KM 4,2 / CL ILDEFONSO CRUZ / P.E. / COL. CISNEROS",374581.220947,3148903.62888,-16.2810161771,28.4606748554
694.0,83082,CARRETERA SANTA CRUZ LAGUNA,2700.0,CT 2534,CT S/C-LAGUNA / CL SOL MARIA DE JESUS,374416.339012,3149384.83173,-16.2827523609,28.4650015626
695.0,57274,CARRETERA GENERAL DEL SUR,2500.0,CT 0095,CT GRAL. DEL SUR / BAR CHORRILLO / BAR PILAR,370909.04819,3144902.75138,-16.3180676733,28.4242113597
696.0,57274,CARRETERA GENERAL DEL SUR,2500.0,CT 0724,CT GRAL. DEL SUR / CUEVAS BLANCAS / BAR EL MOLINO,371300.993578,3145218.10115,-16.3141017786,28.4270958662
697.0,57274,CARRETERA GENERAL DEL SUR,2500.0,CT 0708,CT GRAL. DEL SUR / PANADERIA Y DULCERIA EL CHORRILLO,370677.428602,3144559.79482,-16.3203936742,28.4210934928
698.0,57274,CARRETERA GENERAL DEL SUR,2700.0,CT 2373,"CT GRAL. DEL SUR, 45",372113.013926,3146342.05587,-16.3059368253,28.4373186228
699.0,57274,CARRETERA GENERAL DEL SUR,2500.0,CT 0087,CT GRAL. DEL SUR / ROTONDA / SEMAFORO / BAR MORALES,372433.691953,3146758.97026,-16.3027089658,28.4411123911
700.0,57274,CARRETERA GENERAL DEL SUR,2700.0,CT 2506,"CT GRAL. DEL SUR, 17 / CL ANIBAL / CLINICA VETERINARIA",372535.321263,3146898.33692,-16.3016867445,28.4423800172
701.0,20712,AVENIDA SAN SEBASTIAN,1300.0,CT 0942,CL SAN SEBASTIAN / ESTADIO DE FUTBOL / HOTEL ESCUELA,376673.313293,3149224.0047,-16.2596862935,28.463765605
702.0,20712,AVENIDA SAN SEBASTIAN,2700.0,CT 2087,CL SAN SEBASTIAN / CL ANTONIO NEBRIJA,376868.725531,3149186.64098,-16.2576867118,28.4634468831
703.0,10806,AVENIDA MARITIMA,2700.0,CT 2521,AV JOSE ANTONIO / EDIF. DE HACIENDA (FRENTE),377796.339141,3149166.24476,-16.248211576,28.4633500787
704.0,10613,AVENIDA BRAVO MURILLO,2700.0,CT 2747,"AV BRAVO MURILLO, 16",377642.400628,3149058.63726,-16.2497722009,28.4623645361
705.0,10613,AVENIDA BRAVO MURILLO,2700.0,CT 2818,CL MURILLO / CL IMELDO SERIS,377839.470964,3149410.97058,-16.2477970503,28.4655626569
706.0,11396,ALAMEDA DUQUE DE SANTA ELENA,2700.0,CT 3175,CL LA MARINA N§ 2 / P.E.,377840.905086,3149741.39888,-16.2478174398,28.4685447518
707.0,11396,ALAMEDA DUQUE DE SANTA ELENA,2700.0,CT 3316,CL MILICIAS DE GARACHICO / CL LA MARINA (CONT. SOTERRADO),377837.694801,3149717.90109,-16.2478477337,28.4683323945
708.0,11396,ALAMEDA DUQUE DE SANTA ELENA,2700.0,CT 3321,CL LA MARINA / (ENTRE CONT. SOTERRADOS Y APARC. MOTOS),377840.331112,3149634.26764,-16.2478119418,28.467577889
709.0,31691,CALLE JOSE GUEZALA BIGNORY,2500.0,CT 0836,CL JOSE DE GUEZALA BIGNORY / URB. LAS ESTRELLAS,374364.146548,3148841.92051,-16.2832261728,28.4600970793
710.0,31772,CALLE SANTA MARIA SOLEDAD,2500.0,CT 0839,"CL SANTA MARIA SOLEDAD, 10 / CL AMADIS / EDIF. MESANA",373998.640273,3148763.94025,-16.2869501033,28.4593580921
711.0,20623,CALLE JOSE HERNANDEZ ALFONSO,3000.0,STR 8,CL JOSE HDEZ. ALFONSO / CL LEONCIO RGUEZ.,377325.529,3149006.411,-16.253002564,28.4618634487
712.0,10850,CALLE MANUEL VERA ALVAREZ,2500.0,CT 0758,CT GRAL. / CASERIO LOMO DE LA CRUZ / P. BUS / CONT. BAS.,386786.395544,3156336.52017,-16.1571070442,28.5288718788
713.0,10547,PLAZOLETA DOCTOR PABLOS ABRIL,2700.0,CT 2820,CL ALEJANDRO CIORANESCU / CL CARLOS J. R. HAMILTON / PZ DR. PABLO ABRIL,378010.667454,3150690.7662,-16.2461842578,28.4771282413
714.0,30401,GLORIETA ESTADO DE VIRGINIA,2700.0,CT 1872,CL HORACIO NELSON / CM OLIVER / TORREON DE LUZ,376448.318479,3149974.163,-16.2620644298,28.4705140962
